forecast_horizon_hours,liquidity_quartile,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
1,Q1_low,4,0.4,0.5,79,0.4860759493670886,0.012658227848101266,-0.4734177215189873,0.06621961441743504
1,Q1_low,5,0.5,0.6000000000000001,17,0.5397058823529413,0.7647058823529411,0.22499999999999987,0.014249790444258172
1,Q1_low,6,0.6000000000000001,0.7000000000000001,8,0.669375,0.875,0.20562499999999995,0.006705783738474434
1,Q1_low,7,0.7000000000000001,0.8,19,0.7510526315789473,1.0,0.2489473684210527,0.01592623637887678
1,Q1_low,8,0.8,0.9,16,0.86125,1.0,0.13875000000000004,0.013411567476948869
1,Q1_low,9,0.9,1.0,208,0.9833413461538462,0.9951923076923077,0.011850961538461546,0.17435037720033528
1,Q2,0,0.0,0.1,852,0.00852112676056338,0.0035211267605633804,-0.004999999999999999,0.7141659681475272
1,Q2,1,0.1,0.2,12,0.15,0.0,-0.15,0.010058675607711651
1,Q2,2,0.2,0.30000000000000004,12,0.24625,0.0,-0.24625,0.010058675607711651
1,Q2,3,0.30000000000000004,0.4,6,0.3575,0.16666666666666666,-0.19083333333333333,0.005029337803855826
1,Q2,4,0.4,0.5,12,0.46541666666666665,0.25,-0.21541666666666665,0.010058675607711651
1,Q2,5,0.5,0.6000000000000001,9,0.5411111111111111,0.7777777777777778,0.2366666666666667,0.0075440067057837385
1,Q2,6,0.6000000000000001,0.7000000000000001,4,0.635,1.0,0.365,0.003352891869237217
1,Q2,7,0.7000000000000001,0.8,9,0.7505555555555555,0.7777777777777778,0.02722222222222226,0.0075440067057837385
1,Q2,8,0.8,0.9,8,0.86,1.0,0.14,0.006705783738474434
1,Q2,9,0.9,1.0,269,0.9891263940520446,0.9962825278810409,0.0071561338289962695,0.22548197820620286
1,Q3,0,0.0,0.1,921,0.0063463626492942455,0.0,-0.0063463626492942455,0.7726510067114094
1,Q3,1,0.1,0.2,9,0.14,0.1111111111111111,-0.02888888888888891,0.007550335570469799
1,Q3,2,0.2,0.30000000000000004,3,0.24500000000000002,0.3333333333333333,0.08833333333333329,0.0025167785234899327
1,Q3,3,0.30000000000000004,0.4,0,,,,0.0
1,Q3,4,0.4,0.5,2,0.475,0.5,0.025000000000000022,0.0016778523489932886
1,Q3,5,0.5,0.6000000000000001,3,0.535,0.3333333333333333,-0.20166666666666672,0.0025167785234899327
1,Q3,6,0.6000000000000001,0.7000000000000001,4,0.6487499999999999,0.25,-0.39874999999999994,0.003355704697986577
1,Q3,7,0.7000000000000001,0.8,3,0.7366666666666667,0.6666666666666666,-0.07000000000000006,0.0025167785234899327
1,Q3,8,0.8,0.9,5,0.868,1.0,0.132,0.0041946308724832215
1,Q3,9,0.9,1.0,242,0.9926446280991735,1.0,0.007355371900826468,0.20302013422818793
1,Q4_high,0,0.0,0.1,838,0.006270883054892601,0.0011933174224343676,-0.005077565632458234,0.702430846605197
1,Q4_high,1,0.1,0.2,11,0.14409090909090908,0.2727272727272727,0.12863636363636363,0.009220452640402346
1,Q4_high,2,0.2,0.30000000000000004,4,0.2275,0.5,0.27249999999999996,0.003352891869237217
1,Q4_high,3,0.30000000000000004,0.4,4,0.36,0.75,0.39,0.003352891869237217
1,Q4_high,4,0.4,0.5,2,0.46499999999999997,1.0,0.535,0.0016764459346186086
1,Q4_high,5,0.5,0.6000000000000001,1,0.52,0.0,-0.52,0.0008382229673093043
1,Q4_high,6,0.6000000000000001,0.7000000000000001,5,0.6689999999999999,0.4,-0.2689999999999999,0.004191114836546521
1,Q4_high,7,0.7000000000000001,0.8,3,0.765,0.6666666666666666,-0.09833333333333338,0.002514668901927913
1,Q4_high,8,0.8,0.9,9,0.8705555555555555,0.8888888888888888,0.018333333333333313,0.0075440067057837385
1,Q4_high,9,0.9,1.0,316,0.991613924050633,0.9968354430379747,0.005221518987341689,0.26487845766974016
